date;match;link_jp;show;arena;other_data;link_en;ID
2017.01.05;Makabe, Honma, Nagata, Shibata & Juice vs Okada, Goto, Yano, Ishii & Ospreay;https://njpwworld.com/p/s_series_00414_1_06;New Year Dash!!;Korakuen Hall;;http://njpwworld.com/p/s_series_00414_2_06;1231
2017.01.20;Atlantis/Tana/KUSHIDA/Taguchi/Finlay vs Naito/Rush/SANADA/EVIL/BUSHI;http://njpwworld.com/p/s_series_00415_1_04;FantasticaMania ;Korakuen Hall;;;1232
2017.01.20;Titan vs Hiromu Takahashi;http://njpwworld.com/p/s_series_00415_1_06;FantasticaMania ;Korakuen Hall;;;1233
2017.01.20;Dragon Lee (c) vs Barbaro Cavernario;http://njpwworld.com/p/s_series_00415_1_07;FantasticaMania ;Korakuen Hall;CMLL World Lightweight Championship;;1234
2017.01.21;Katsuyori Shibata (c) vs Matt Riddle;https://njpwworld.com/p/s_archive_37_01_07;High Stakes 2017;York Hall, London;RPW Undisputed British Heavyweight Title;;1235
2017.01.21;Okada, Ospreay & Cavernario vs KUSHIDA, Taguchi & Soberano Jr.;http://njpwworld.com/p/s_series_00415_2_03;FantasticaMania ;Korakuen Hall;;;1236
2017.01.21;Volador Jr. & Mistico vs Ultimo Guerrero & Euforia;http://njpwworld.com/p/s_series_00415_2_05;FantasticaMania ;Korakuen Hall;;;1237
2017.01.21;Maximo Sexy (c) vs Hechicero;http://njpwworld.com/p/s_series_00415_2_07;FantasticaMania ;Korakuen Hall;CMLL World Heavyweight Championship;;1238
2017.01.22;Dragon Lee & Titan vs Hiromu Takahashi & BUSHI;http://njpwworld.com/p/s_series_00415_3_03;FantasticaMania ;Korakuen Hall;;;1239
2017.01.22;Mistico vs Euforia;http://njpwworld.com/p/s_series_00415_3_06;FantasticaMania ;Korakuen Hall;;;1240
2017.01.22;Volador Jr. vs Ultimo Guerrero;http://njpwworld.com/p/s_series_00415_3_07;FantasticaMania ;Korakuen Hall;;;1241
2017.01.29;Makabe, Honma, Shibata & Juice vs Goto, Ishii, Ospreay & Yano;http://njpwworld.com/p/s_series_00416_1_05;Road to New Beginning;Korakuen Hall;;;1242
2017.02.05;Tana, Elgin, Nakanishi, Taguchi, Lee vs Naito, EVIL, SANADA, BUSHI, Hiromu;https://njpwworld.com/p/s_series_00417_1_05;New Beginning in Sapporo;Hokkaido Sports Center;;http://njpwworld.com/p/s_series_00418_1_05;1243
2017.02.05;Hirooki Goto (c) vs Juice Robinson;https://njpwworld.com/p/s_series_00417_1_07;New Beginning in Sapporo;Hokkaido Sports Center;NEVER Openweight Championship;http://njpwworld.com/p/s_series_00418_1_07;1244
2017.02.05;Yano & Ishii (c) vs Makabe & Honma vs Archer & Davey Boy Smith Jr.;https://njpwworld.com/p/s_series_00417_1_08;New Beginning in Sapporo;Hokkaido Sports Center;IWGP Heavyweight Tag Titles;http://njpwworld.com/p/s_series_00418_1_08;1245
2017.02.05;Kazuchika Okada (c) vs Minoru Suzuki;https://njpwworld.com/p/s_series_00417_1_09;New Beginning in Sapporo;Hokkaido Sports Center;IWGP Heavyweight Championship;https://njpwworld.com/p/s_series_00418_1_09;1246
2017.02.07;Okada, Ishii, Yano, Rocky & Trent vs MiSu, Archer, Davey, Kanemaru & Taichi;http://njpwworld.com/p/s_series_00420_1_05;Road to New Beginning;Korakuen Hall;Special Elimination Match;;1247
2017.02.07;Tana, Elgin, Nakanishi, Taguchi, Lee vs Naito, EVIL, SANADA, BUSHI, Hiromu;http://njpwworld.com/p/s_series_00420_1_06;Road to New Beginning;Korakuen Hall;Special Elimination Match;;1248
2017.02.11;Tanahashi, Nakanishi & Taguchi (c) vs SANADA, EVIL & BUSHI;http://njpwworld.com/p/s_series_00421_1_05;New Beginning in Osaka;Osaka Prefectural Gym;NEVER Openweight Six-Man Tag Titles;https://njpwworld.com/p/s_series_00422_1_05;1249
2017.02.11;Katsuyori Shibata (c) vs Will Ospreay;http://njpwworld.com/p/s_series_00421_1_06;New Beginning in Osaka;Osaka Prefectural Gym;RPW British Heavyweight Title;https://njpwworld.com/p/s_series_00422_1_06;1250
2017.02.11;Hiromu Takahashi (c) vs Dragon Lee;http://njpwworld.com/p/s_series_00421_1_08;New Beginning in Osaka;Osaka Prefectural Gym;IWGP Jr. Heavyweight Title;https://njpwworld.com/p/s_series_00422_1_08;1251
2017.02.11;Tetsuya Naito (c) vs Michael Elgin;http://njpwworld.com/p/s_series_00421_1_09;New Beginning in Osaka;Osaka Prefectural Gym;IWGP Intercontinental Title;https://njpwworld.com/p/s_series_00422_1_09;1252
2017.02.21;Tenzan, Kojima & Nakanishi vs Okada, Goto & YOSHI-HASHI;http://njpwworld.com/p/s_series_00424_1_05;Makabe 20th Anniversary;Korakuen Hall;;;1253
2017.02.21;Makabe & Honma vs Ishii & Yano;http://njpwworld.com/p/s_series_00424_1_06;Makabe 20th Anniversary;Korakuen Hall;;;1254
2017.02.26;War Machine vs The Young Bucks;http://njpwworld.com/p/s_series_00425_1_04;Honor Rising Night 1;Korakuen Hall;;;1255
2017.02.26;The Briscoe Brothers vs Kenny Omega & Adam Cole;http://njpwworld.com/p/s_series_00425_1_07;Honor Rising Night 1;Korakuen Hall;;https://njpwworld.com/p/s_series_00426_1_07;1256
2017.02.27;Hirooki Goto (c) vs Punisher Martinez;http://njpwworld.com/p/s_series_00425_2_05;Honor Rising Night 2;Korakuen Hall;NEVER Openweight Title;https://njpwworld.com/p/s_series_00426_2_05;1257
2017.02.27;Adam Cole (c) vs YOSHI-HASHI;http://njpwworld.com/p/s_series_00425_2_06;Honor Rising Night 2;Korakuen Hall;ROH World Heavyweight Title;https://njpwworld.com/p/s_series_00426_2_06;1258
2017.02.27;Okada, Ospreay & The Briscoes vs Omega, Cody & The Young Bucks;http://njpwworld.com/p/s_series_00425_2_07;Honor Rising Night 2;Korakuen Hall;;https://njpwworld.com/p/s_series_00426_2_07;1259
2017.03.01;Tiger Mask & Tiger Mask W vs Kazuchika Okada & Gedo;http://njpwworld.com/p/s_series_00427_1_07;New Japan Road;Korakuen Hall;;;1260
2017.03.06;Manabu Nakanishi vs Tomoyuki Oka;http://njpwworld.com/p/s_series_00428_1_00;NJPW 45th Anniversary;Ota Ward Gym;;;1261
2017.03.06;Katsuyori Shibata (c) vs Zack Sabre Jr.;http://njpwworld.com/p/s_series_00428_1_04;NJPW 45th Anniversary;Ota Ward Gym;RPW British Heavyweight Title;;1262
2017.03.06;Tomohiro Ishii & Toru Yano (c) vs Hiroyoshi Tenzan & Satoshi Kojima;http://njpwworld.com/p/s_series_00428_1_05;NJPW 45th Anniversary;Ota Ward Gym;IWGP Heavyweight Tag Titles;;1263
2017.03.06;Hiromu Takahashi (c) vs Ryusuke Taguchi;http://njpwworld.com/p/s_series_00428_1_07;NJPW 45th Anniversary;Ota Ward Gym;IWGP Jr. Heavyweight Title;;1264
2017.03.06;Kazuchika Okada vs Tiger Mask W;http://njpwworld.com/p/s_series_00428_1_08;NJPW 45th Anniversary;Ota Ward Gym;;;1265
2017.03.07;Hiroshi Tanahashi & KUSHIDA vs EVIL & Hiromu Takahashi;http://njpwworld.com/p/s_series_00429_2_06;NJPW 45th Anniversary;Korakuen Hall;;;1266
2017.03.07;Okada, YOSHI-HASHI & Romero vs Naito, SANADA & BUSHI;http://njpwworld.com/p/s_series_00429_2_07;NJPW 45th Anniversary;Korakuen Hall;;;1267
2017.03.11;Ryusuke Taguchi & Hirai Kawato vs TAKA Michinoku & El Desperado;http://njpwworld.com/p/s_series_00430_1_01;New Japan Cup;Aichi Prefectural Gym;;;1268
2017.03.11;Hiroshi Tanahashi vs EVIL;http://njpwworld.com/p/s_series_00430_1_09;New Japan Cup;Aichi Prefectural Gym;New Japan Cup 1st Round Match;;1269
2017.03.12;YOSHI-HASHI vs SANADA;http://njpwworld.com/p/s_series_00430_2_06;New Japan Cup;Amagasaki City Gym;New Japan Cup 1st Round Match;;1270
2017.03.12;Tomohiro Ishii vs Kenny Omega;http://njpwworld.com/p/s_series_00430_2_08;New Japan Cup;Amagasaki City Gym;New Japan Cup 1st Round Match;;1271
2017.03.13;Yuji Nagata vs EVIL;http://njpwworld.com/p/s_archive_49_01_06;New Japan Cup;Fukui Industrial Hall;New Japan Cup 2nd Round Match;;1272
2017.03.15;Katsuyori Shibata vs Juice Robinson;http://njpwworld.com/p/s_archive_51_01_06;New Japan Cup;Nagano Regional Gym;New Japan Cup 2nd Round Match;;1273
2017.03.17;Tomohiro Ishii vs SANADA;http://njpwworld.com/p/s_archive_52_01_06;New Japan Cup;Saitama Citizen Gym;New Japan Cup 2nd Round Match;;1274
2017.03.19;Tanahashi, Elgin, Taguchi & KUSHIDA vs Naito, SANADA, BUSHI & Hiromu;http://njpwworld.com/p/s_series_00430_3_04;New Japan Cup;Act City Hamamatsu;;;1275
2017.03.19;Katsuyori Shibata vs Tomohiro Ishii;http://njpwworld.com/p/s_series_00430_3_07;New Japan Cup;Act City Hamamatsu;New Japan Cup Semi-Final;;1276
2017.03.20;Tanahashi, Elgin, KUSHIDA, Juice & Taguchi vs Los Ingobernables de Japon;http://njpwworld.com/p/s_series_00430_4_05;New Japan Cup;Niigata Aore Nagaoka;;;1277
2017.03.20;Katsuyori Shibata vs Bad Luck Fale;http://njpwworld.com/p/s_series_00430_4_07;New Japan Cup;Niigata Aore Nagaoka;New Japan Cup FINAL;;1278
2017.03.26;Katsuyori Shibata & Yuji Nagata vs Kazuchika Okada & Tomohiro Ishii;http://njpwworld.com/p/s_series_00431_1_07;Road to Sakura Genesis;Korakuen Hall;;;1279
2017.04.04;Kazuchika Okada & YOSHI-HASHI vs Katsuyori Shibata & Togi Makabe;http://njpwworld.com/p/s_series_00431_2_07;Road to Sakura Genesis;Korakuen Hall;;;1280
2017.04.04;SANADA, EVIL & BUSHI (c) vs Tanahashi, Taguchi & Ricochet;http://njpwworld.com/p/s_series_00431_2_08;Road to Sakura Genesis;Korakuen Hall;;;1281
2017.04.09;Tanahashi, Taguchi, Juice & Ricochet vs Naito, SANADA, EVIL & BUSHI;https://njpwworld.com/p/s_series_00432_1_05;Sakura Genesis;Ryogoku Kokugikan;;http://njpwworld.com/p/s_series_00433_1_05;1282
2017.04.09;Hiroyoshi Tenzan & Satoshi Kojima (c) vs War Machine;https://njpwworld.com/p/s_series_00432_1_06;Sakura Genesis;Ryogoku Kokugikan;IWGP Heavyweight Tag Titles;http://njpwworld.com/p/s_series_00433_1_06;1283
2017.04.09;Hirooki Goto (c) vs Zack Sabre Jr.;https://njpwworld.com/p/s_series_00432_1_07;Sakura Genesis;Ryogoku Kokugikan;NEVER Openweight Title;http://njpwworld.com/p/s_series_00433_1_07;1284
2017.04.09;Hiromu Takahashi (c) vs KUSHIDA;https://njpwworld.com/p/s_series_00432_1_08;Sakura Genesis;Ryogoku Kokugikan;IWGP Jr. Heavyweight Title;http://njpwworld.com/p/s_series_00433_1_08;1285
2017.04.09;Kazuchika Okada (c) vs Katsuyori Shibata;https://njpwworld.com/p/s_series_00432_1_09;Sakura Genesis;Ryogoku Kokugikan;IWGP Heavyweight Title;https://njpwworld.com/p/s_series_00433_1_09;1286
2017.04.13;YOSHI-HASHI vs Toru Sugiura;http://njpwworld.com/p/s_series_00434_1_04;Lion's Gate Project: 4;Shinjuku FACE;;;1287
2017.04.13;Yuji Nagata & Tomoyuki Oka vs Manabu Nakanishi & Katsuya Kitamura;http://njpwworld.com/p/s_series_00434_1_06;Lion's Gate Project: 4;Shinjuku FACE;;;1288
2017.04.13;Zack Sabre Jr. (c) vs KUSHIDA;https://njpwworld.com/p/s_archive_53_07;Epic Encounter 2017;York Hall, London;RPW Undisputed British Heavyweight Title;;1289
2017.04.13;Kenny Omega & The Young Bucks vs Lio Rush, Shane Strickland & Ryan Smile;https://njpwworld.com/p/s_archive_53_08;Epic Encounter 2017;York Hall, London;;;1290
2017.04.23;Hiroshi Tanahashi & Juice Robinson vs Tetsuya Naito & EVIL;http://njpwworld.com/p/s_series_00435_2_07;Road to Dontaku;Korakuen Hall;;;1291
2017.04.27;Taichi & Yoshinobu Kanemaru (c) vs RPG Vice;http://njpwworld.com/p/s_series_00435_3_04;Road to Dontaku;Hiroshima Green Arena;IWGP Jr. Heavyweight Tag Titles;;1292
2017.04.27;Tanahashi, Taguchi, Juice, Ricochet & Yoshitatsu vs Los Ingobernables;http://njpwworld.com/p/s_series_00435_3_05;Road to Dontaku;Hiroshima Green Arena;;;1293
2017.04.27;Hirooki Goto (c) vs Minoru Suzuki;http://njpwworld.com/p/s_series_00435_3_07;Road to Dontaku;Hiroshima Green Arena;;;1294
2017.04.29;Goto, YOSHI-HASHI & Ospreay vs Suzuki, Taichi & TAKA;http://njpwworld.com/p/s_series_00436_05;Wrestling Toyonokuni;Oita Beppu Beacon Plaza;;;1295
2017.04.29;Hiromu Takahashi (c) vs Ricochet;http://njpwworld.com/p/s_series_00436_07;Wrestling Toyonokuni;Oita Beppu Beacon Plaza;IWGP Jr. Heavyweight Title;;1296
2017.04.29;Hiroshi Tanahashi vs EVIL;http://njpwworld.com/p/s_series_00436_07;Wrestling Toyonokuni;Oita Beppu Beacon Plaza;;;1297
2017.04.29;Tetsuya Naito (c) vs Juice Robinson;http://njpwworld.com/p/s_series_00436_09;Wrestling Toyonokuni;Oita Beppu Beacon Plaza;IWGP Intercontinental Title;;1298
2017.05.03;War Machine (c) vs Tenzan & Kojima vs Tonga & Loa;http://njpwworld.com/p/s_series_00437_1_06;Wrestling Dontaku;Fukuoka National Centre;IWGP Heavyweight Tag Titles;https://njpwworld.com/p/s_series_00438_1_06;1299
2017.05.03;Tanahashi, Taguchi & Ricochet (c) vs SANADA, EVIL & BUSHI;http://njpwworld.com/p/s_series_00437_1_07;Wrestling Dontaku;Fukuoka National Centre;NEVER Openweight Six-Man Tag Titles;https://njpwworld.com/p/s_series_00438_1_07;1300
2017.05.03;Tomohiro Ishii vs Kenny Omega;http://njpwworld.com/p/s_series_00437_1_08;Wrestling Dontaku;Fukuoka National Centre;;https://njpwworld.com/p/s_series_00438_1_08;1301
2017.05.03;Kazuchika Okada (c) vs Bad Luck Fale;http://njpwworld.com/p/s_series_00437_1_09;Wrestling Dontaku;Fukuoka National Centre;IWGP Heavyweight Title;https://njpwworld.com/p/s_series_00438_1_09;1302
2017.05.09;Satoshi Kojima vs Ayato Yoshida;http://njpwworld.com/p/s_series_00439_1_05;Lion's Gate Project: 5;Shinjuku FACE;;;1303
2017.05.09;Yuji Nagata & Manabu Nakanishi vs Tomoyuki Oka & Katsuya Kitamura;http://njpwworld.com/p/s_series_00439_1_06;Lion's Gate Proect: 5;Shinjuku FACE;;;1304
2017.05.17;Jushin Liger vs TAKA Michinoku;http://njpwworld.com/p/s_series_00440_1_01;BoSJ Day 1;Korakuen Hall;BoSJ Block A Match;;1305
2017.05.17;ACH vs BUSHI;http://njpwworld.com/p/s_series_00440_1_04;BoSJ Day 1;Korakuen Hall;BoSJ Block B Match;;1306
2017.05.17;KUSHIDA vs El Desperado;http://njpwworld.com/p/s_series_00440_1_05;BoSJ Day 1;Korakuen Hall;BoSJ Block B Match;;1307
2017.05.17;Will Ospreay vs Marty Scurll;http://njpwworld.com/p/s_series_00440_1_06;BoSJ Day 1;Korakuen Hall;BoSJ Block A Match;;1308
2017.05.17;Hiromu Takahashi vs Dragon Lee;http://njpwworld.com/p/s_series_00440_1_08;BoSJ Day 1;Korakuen Hall;BoSJ Block A Match;;1309
2017.05.18;Jushin Liger vs Hiromu Takahashi;http://njpwworld.com/p/s_series_00440_2_07;BoSJ Day 2;Korakuen Hall;BoSJ Block A Match;;1310
2017.05.18;Ricochet vs Will Ospreay;http://njpwworld.com/p/s_series_00440_2_08;BoSJ Day 2;Korakuen Hall;BoSJ Block A Match;;1311
2017.05.20;Tiger Mask vs KUSHIDA;http://njpwworld.com/p/s_archive_55_01_04;BoSJ Day 3;Matsusaka Gym;BoSJ Block B Match;;1312
2017.05.21;Ricochet vs Hiromu Takahashi;http://njpwworld.com/p/s_archive_55_02_07;BoSJ Day 4;Kiramesse Numazu;BoSJ Block A Match;;1313
